UTC,FMS_ALT_PRES,FMS_TAS,FMS_SAT,FMS_LAT,FMS_LON,FMS_GRD_SPD,FMS_HDG,FMS_TRK,FMS_WNS,FMS_WND,IRS_PITCH,IRS_ROLL,IRS_VERT_ACC,ADC_IAS,GPS_ALT,A_DewPoint,A_CabinPressure,A_SurfTemp,A_TotalTemp,A_JNO2_Nadir,A_JNO2_Zenith,A_RadarAlt,C_StaticPressure,C_DiffPressure,C_StatTempDegC,C_PotTempDegK,C_MachNumber,C_CabAltitude,C_VaporPresWater,C_SatVaporPresWater,C_SatVaporPresIce,C_MixingRatio,C_RelHumidity
78172,10665.0,243.23,10.0,39.54903,-105.059448,248.24,39.74,35.01,,,-1.53,30.87,0.039,209.49,11353.8,-0.17,12.565,23.66,17.66,0.001879,0.008222,,680.55,68.907,9.76,315.8,0.374,4272.2275,6.0571,12.1178,13.3109,5.58548,50.04
78173,10636.0,246.66,9.93,39.549938,-105.058533,248.11,42.93,37.49,,,-1.66,30.31,0.062,209.32,11332.4,0.18,12.564,23.07,17.83,0.001876,0.008245,,681.22,68.684,9.95,315.928,0.373,4274.0742,6.211,12.2758,13.5093,5.72306,51.25
78174,10614.2,248.66,9.5,39.550797,-105.057556,247.99,46.24,40.12,,,-1.45,30.76,0.086,209.63,11313.1,0.61,12.563,22.58,17.87,0.001867,0.008249,,681.83,69.88,9.87,315.754,0.376,4275.5908,6.4071,12.207,13.4229,5.90013,53.11
78175,10594.5,248.89,9.57,39.551617,-105.056473,247.81,49.06,43.61,,,-1.03,31.84,0.054,207.71,11296.9,0.92,12.562,22.39,17.75,0.001877,0.008237,,682.3,70.998,9.64,315.435,0.379,4278.4131,6.5526,12.0207,13.1891,6.03119,56.02
78176,10583.8,248.76,10.0,39.552345,-105.055344,247.25,51.39,46.8,,,-1.09,33.4,-0.083,206.74,11280.9,1.2,12.56,22.65,17.81,0.001896,0.008231,,682.67,69.711,9.84,315.61,0.375,4282.1128,6.6843,12.1835,13.3935,6.15034,53.65
78177,10570.0,247.54,9.93,39.55304,-105.054176,247.2,54.17,49.75,,,-0.95,34.74,-0.01,209.37,11265.9,1.41,12.56,23.42,18.02,0.001911,0.008227,,682.82,66.097,10.44,316.258,0.366,4281.9229,6.787,12.6818,14.0212,6.24439,54.59
78178,10554.0,248.55,9.57,39.553722,-105.053017,246.74,57.55,51.93,,,-1.07,36.06,-0.034,209.03,11252.2,1.59,12.56,24.74,17.81,0.001925,0.008216,,683.41,70.547,9.76,315.425,0.377,4282.6709,6.8787,12.1195,13.3131,6.32398,57.97
78179,10540.2,248.97,10.0,39.554359,-105.051773,246.45,61.19,55.13,,,-1.07,37.09,-0.009,209.52,11235.4,1.92,12.559,26.42,17.78,0.001934,0.008199,,683.86,69.783,9.82,315.429,0.375,4284.126,7.039,12.1653,13.3704,6.46871,59.67
78180,10523.5,249.98,10.0,39.554928,-105.050514,245.94,64.95,58.56,,,-0.95,36.92,0.047,208.62,11217.2,2.46,12.558,28.14,17.75,0.001931,0.008204,,684.2,71.132,9.64,315.191,0.379,4285.5649,7.3164,12.0248,13.1942,6.72293,62.5
78181,10505.5,250.52,9.93,39.55542,-105.049149,245.36,68.54,62.49,,,-0.98,36.09,0.006,208.24,11199.6,3.03,12.557,29.73,17.69,0.001921,0.008238,,684.69,71.307,9.57,315.046,0.379,4288.77,7.6183,11.9661,13.1206,6.99842,65.02
